class,race_id,win_order,name,ts,stamina,sprinting,jockey,run_speed,intel,cooperation,acceleration,course_length
c,16,0,DARIO,85,552,0,1,1839,50,100,50,0
c,16,1,ARL,88,531,0,1,1767,100,100,50,0
c,16,3,TOM,77,511,0,0,1887,50,100,50,0
c,16,5,SAMMY,86,521,0,2,1839,100,100,50,0
c,17,2,GRAHAM,76,522,0,0,1812,100,100,50,0
c,17,1,CLIVE,81,502,0,0,1854,50,100,50,0
c,17,0,JAMES,76,532,0,0,1866,100,100,50,0
c,17,3,JU,75,549,0,0,1756,100,100,50,0
c,17,5,LIA,81,554,0,2,1778,100,100,50,0
c,17,4,TERRY,78,528,0,2,1804,50,100,50,0
c,18,5,JU,78,536,1,2,1863,100,100,50,0
c,18,4,GEORGE,78,541,0,1,1785,50,100,50,0
c,18,1,RUDY,79,511,0,0,1804,100,100,50,0
c,18,2,DAN,76,513,0,1,1741,50,100,50,0
c,18,3,SANDY,85,540,0,3,1778,50,100,50,0
c,18,0,BLUES,81,542,0,3,1763,50,100,50,0
c,19,3,TERRY,77,524,0,2,1888,50,100,50,0
c,19,5,ROBER,85,537,0,2,1710,100,100,50,0
c,19,2,HARVEY,84,556,0,3,1702,100,100,50,0
c,19,1,SARA,80,554,0,1,1868,50,100,50,0
c,19,4,LE,80,527,0,2,1843,100,100,50,0
c,19,0,GRAHAM,81,559,0,3,1891,100,100,50,0
c,20,4,BLUES,82,532,0,2,1817,100,100,50,0
c,20,5,ANDY,85,548,0,2,1892,50,100,50,0
c,20,1,RUDY,81,528,1,1,1814,50,100,50,0
c,20,2,GARY,81,511,0,1,1762,50,100,50,0
c,20,3,JU,77,552,0,1,1777,50,100,50,0
c,20,0,PAULA,86,507,0,0,1767,100,100,50,0
c,21,4,RUDY,80,519,1,1,1764,50,100,50,0
c,21,5,RICA,82,509,0,2,1802,50,100,50,0
c,21,0,GRAHAM,85,522,0,1,1852,100,100,50,0
c,21,1,SANDY,77,506,0,1,1844,100,100,50,0
c,21,3,LE,80,534,0,1,1760,50,100,50,0
c,21,2,FOX,76,511,0,0,1792,50,100,50,0
c,22,3,JOEL,78,511,0,1,1710,50,100,50,0
c,22,2,RICA,82,526,1,3,1890,50,100,50,0
c,22,4,ANDY,78,554,0,3,1721,50,100,50,0
c,22,0,AIMEE,82,505,0,1,1828,50,100,50,0
c,22,5,SARA,80,545,0,3,1797,100,100,50,0
c,22,1,TIM,86,541,0,1,1838,50,100,50,0
c,23,5,LY,76,555,0,2,1788,100,100,50,0
c,23,0,LE,85,530,0,1,1705,100,100,50,0
c,23,2,JOEL,81,555,0,3,1868,50,100,50,0
c,23,1,GEORGE,87,519,1,0,1835,100,100,50,0
c,23,4,GARY,79,547,0,3,1764,50,100,50,0
c,23,3,JOHN,76,545,0,3,1721,100,100,50,0
c,24,5,DAN,74,539,0,2,1887,50,100,50,0
c,24,4,DARIO,78,553,0,0,1839,50,100,50,0
c,24,2,ROBIN,79,545,0,3,1802,100,100,50,0
c,24,1,PAU,74,508,0,3,1811,50,100,50,0
c,24,3,JAMES,74,525,1,1,1828,100,100,50,0
c,24,0,RICA,87,526,0,3,1732,50,100,50,0
c,25,0,GEORGE,82,506,0,0,1891,50,100,50,0
c,25,4,ROBER,87,557,1,3,1756,50,100,50,0
c,25,3,LY,87,532,1,0,1712,100,100,50,0
c,25,1,YOUNG,83,547,0,1,1888,50,100,50,0
c,25,5,GREY,80,520,0,3,1748,50,100,50,0
c,25,2,PAULA,81,513,0,3,1755,100,100,50,0
c,26,1,GEORGE,80,529,0,0,1798,100,100,50,0
c,26,4,JOEL,75,506,0,1,1810,100,100,50,0
c,26,5,LY,80,548,0,2,1814,100,100,50,0
c,26,0,MARIE,86,546,0,1,1817,50,100,50,0
c,26,2,JOHN,79,553,0,0,1840,100,100,50,0
c,26,3,PAULA,74,513,0,3,1757,100,100,50,0
c,27,0,CLIVE,82,555,0,0,1864,100,100,50,0
c,27,5,JU,75,546,0,2,1849,100,100,50,0
c,27,2,BLUES,78,553,0,3,1741,50,100,50,0
c,27,4,SAM,76,554,0,1,1845,50,100,50,0
c,27,1,JOHN,84,509,0,0,1708,50,100,50,0
c,27,3,FOX,78,540,0,0,1747,100,100,50,0
c,28,4,JAMES,84,515,1,3,1831,50,100,50,0
c,28,0,PETER,79,540,0,1,1885,50,100,50,0
c,28,5,PAU,78,528,0,2,1706,100,100,50,0
c,28,1,TIM,77,505,0,1,1812,100,100,50,0
c,28,2,FOX,80,540,0,3,1781,100,100,50,0
c,28,3,SAM,83,516,1,1,1862,50,100,50,0
c,29,4,PETER,87,545,1,2,1859,50,100,50,0
c,29,0,SARA,85,517,0,0,1856,100,100,50,0
c,29,3,NANCY,83,503,0,2,1865,50,100,50,0
c,29,2,SEAN,82,556,0,2,1801,100,100,50,0
c,29,5,MIKE,88,548,0,2,1740,50,100,50,0
c,29,1,DAN,75,554,0,1,1747,50,100,50,0
c,30,5,CLIVE,74,519,1,2,1780,50,100,50,0
c,30,3,ARL,74,549,0,3,1762,100,100,50,0
c,30,2,GREY,74,504,1,1,1831,100,100,50,0
c,30,4,MARIE,86,525,1,2,1872,100,100,50,0
c,30,0,NANCY,80,548,1,0,1887,50,100,50,0
c,30,1,RICA,88,551,0,1,1837,50,100,50,0
c,31,2,TERRY,76,560,0,2,1892,50,100,50,0
c,31,4,ROBER,84,550,0,2,1815,100,100,50,0
c,31,5,LIA,75,515,0,2,1817,50,100,50,0
c,31,3,RUDY,84,519,1,2,1745,100,100,50,0
c,31,0,PAULA,76,509,0,3,1835,100,100,50,0
c,31,1,EDWARD,78,531,0,3,1730,50,100,50,0
c,32,1,AIMEE,83,537,0,3,1894,100,100,50,0
c,32,0,CLIVE,75,524,0,1,1838,100,100,50,0
c,32,2,GEORGE,78,532,0,1,1842,50,100,50,0
c,32,3,FOX,79,558,0,2,1805,100,100,50,0
c,32,4,SAMMY,86,538,1,2,1836,50,100,50,0
c,32,5,YOUNG,83,541,0,2,1857,100,100,50,0
c,33,5,GARY,74,554,0,2,1728,100,100,50,0
c,33,0,FOX,88,512,0,0,1836,50,100,50,0
c,33,3,RICA,78,514,0,1,1729,100,100,50,0
c,33,1,PAU,77,524,0,3,1783,100,100,50,0
c,33,2,JOHN,82,518,0,3,1790,50,100,50,0
c,33,4,SAM,82,512,1,2,1775,50,100,50,0
c,34,4,EDWARD,81,553,0,3,1736,100,100,50,0
c,34,0,JENNY,84,554,0,1,1869,100,100,50,0
c,34,1,SARA,79,526,0,1,1784,100,100,50,0
c,34,3,TERRY,76,535,0,1,1785,100,100,50,0
c,34,5,PAU,78,508,0,1,1889,100,100,50,0
c,34,2,AIMEE,75,543,0,3,1767,100,100,50,0
c,35,2,SAM,75,548,0,1,1757,50,100,50,0
c,35,3,EDWARD,83,525,1,0,1738,50,100,50,0
c,35,5,SAMMY,82,555,0,2,1829,100,100,50,0
c,35,1,ROBER,81,519,0,3,1887,50,100,50,0
c,35,0,GARY,84,504,0,3,1850,50,100,50,0
c,35,4,LY,79,541,0,3,1827,50,100,50,0
c,36,4,AIMEE,79,552,0,0,1746,100,100,50,0
c,36,5,JOHN,88,547,0,2,1830,100,100,50,0
c,36,2,RUDY,79,532,0,1,1844,100,100,50,0
c,36,0,SAM,84,546,0,0,1718,100,100,50,0
c,36,3,JU,86,519,0,3,1726,100,100,50,0
c,36,1,DARIO,78,558,0,1,1834,100,100,50,0
c,37,3,LY,82,530,0,1,1821,50,100,50,0
c,37,1,PETER,79,531,0,3,1755,100,100,50,0
c,37,2,GREY,80,502,0,3,1706,100,100,50,0
